City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Mpika,ZM,2022-03-01 19:49:33,-11.8343,31.4529,63.57,96,100,2.06
240,Flinders,AU,2022-03-01 19:49:33,-34.5833,150.8552,69.21,93,100,8.01
241,Kavaratti,IN,2022-03-01 19:49:34,10.5669,72.642,81.39,67,76,9.17
242,Andenes,NO,2022-03-01 19:49:35,69.3143,16.1194,36.37,87,40,21.85
243,Bowen,AU,2022-03-01 19:49:35,-20.0167,148.2333,79.02,88,98,9.04
244,Ulaanbaatar,MN,2022-03-01 19:45:31,47.9077,106.8832,-3.87,71,0,2.24
245,Tazovskiy,RU,2022-03-01 19:49:35,67.4667,78.7,6.91,91,100,22.59
246,Muros,ES,2022-03-01 19:49:36,42.7762,-9.0603,55.24,83,11,14.58
247,Constitucion,CL,2022-03-01 19:46:01,-35.3333,-72.4167,71.08,54,3,19.98
248,Mwinilunga,ZM,2022-03-01 19:49:37,-11.7358,24.4293,66.13,87,95,3.02
249,Santa Fe,AR,2022-03-01 19:49:37,-31.6333,-60.7,88.02,26,0,5.99
250,Palmer,US,2022-03-01 19:49:37,42.1584,-72.3287,40.98,54,100,13.8
251,Sisimiut,GL,2022-03-01 19:49:38,66.9395,-53.6735,-3.55,94,14,2.35
252,Beringovskiy,RU,2022-03-01 19:49:38,63.05,179.3167,22.3,96,100,5.91
253,Cape Town,ZA,2022-03-01 19:47:55,-33.9258,18.4232,68.11,89,75,12.66
254,Lebyazhye,RU,2022-03-01 19:49:39,55.2689,66.4947,17.24,96,82,8.25
255,Rocha,UY,2022-03-01 19:45:55,-34.4833,-54.3333,77.09,35,0,1.77
256,Olinda,BR,2022-03-01 19:49:39,-8.0089,-34.8553,85.73,62,40,11.5
257,Lavrentiya,RU,2022-03-01 19:49:40,65.5833,-171.0,13.03,99,98,3.38
258,Saskylakh,RU,2022-03-01 19:49:40,71.9167,114.0833,-35.09,100,63,4.68
259,Naze,JP,2022-03-01 19:47:16,28.3667,129.4833,59.5,76,97,7.96
260,Airai,TL,2022-03-01 19:49:41,-8.9266,125.4092,59.77,83,53,1.99
261,Hervey Bay,AU,2022-03-01 19:49:41,-25.2986,152.8535,75.31,93,56,5.99
262,Mogadishu,SO,2022-03-01 19:49:41,2.0371,45.3438,78.73,80,4,20.02
263,Batagay,RU,2022-03-01 19:49:42,67.6333,134.6333,-28.03,100,96,2.33
264,Teguise,ES,2022-03-01 19:49:42,29.0605,-13.564,61.02,77,20,21.85
265,Cape Canaveral,US,2022-03-01 19:49:43,28.4058,-80.6048,75.25,69,20,17.27
266,Cidreira,BR,2022-03-01 19:49:43,-30.1811,-50.2056,74.57,73,97,10.92
267,Namatanai,PG,2022-03-01 19:49:43,-3.6667,152.4333,78.4,85,100,5.28
268,Saint-Francois,FR,2022-03-01 19:49:44,46.4154,3.9054,47.64,57,0,4.61
269,Christchurch,NZ,2022-03-01 19:49:44,-43.5333,172.6333,55.94,83,100,9.22
270,Mackay,AU,2022-03-01 19:47:28,-21.15,149.2,80.58,94,47,4.61
271,Port Macquarie,AU,2022-03-01 19:47:48,-31.4333,152.9167,69.69,100,75,5.75
272,Vangaindrano,MG,2022-03-01 19:49:45,-23.35,47.6,74.79,94,73,2.44
